地址,经度,纬度,业务分类,客户名称,所在城市,所属团队,汇总时间,项目名称,项目周期,商务负责人,合同额（万元）,款项名称,开票额（万元）,到帐额（万元）,地产品牌,已开票未到账额,未执行完合同额,类型
中国 浙江 杭州市 良渚文化村阳光天际项目部,,,地产,浙江南都置业有限公司-杭州万科,杭州,地产事业部,2017-10-20 00:00:00,DataMap,一期,王道强,,一期款,,15,万科,,,脉策经营收入
中国 浙江 杭州市 良渚文化村阳光天际项目部,,,地产,浙江南都置业有限公司-杭州万科,杭州,地产事业部,2018-05-24 00:00:00,DataMap,二期,王道强,,二期款,15,,万科,,,脉策经营收入
南京市玄武区墨香路30号,,,地产,南京海高房地产开发有限公司-南京中海,南京,地产事业部,2017-09-06 00:00:00,DataMap,零期,王道强,40,,,,中海,,4,脉策经营收入
南京市玄武区墨香路30号,,,地产,南京海高房地产开发有限公司-南京中海,南京,地产事业部,2017-09-26 00:00:00,DataMap,一期,王道强,,一期款,12,,中海,,,脉策经营收入
南京市玄武区墨香路30号,,,地产,南京海高房地产开发有限公司-南京中海,南京,地产事业部,2017-11-09 00:00:00,DataMap,一期,王道强,,一期款,,12,中海,,,脉策经营收入
南京市玄武区墨香路30号,,,地产,南京海高房地产开发有限公司-南京中海,南京,地产事业部,2017-12-12 00:00:00,DataMap,二期,王道强,,二期款,24,,中海,,,脉策经营收入
南京市玄武区墨香路30号,,,地产,南京海高房地产开发有限公司-南京中海,南京,地产事业部,2018-04-20 00:00:00,DataMap,二期,王道强,,二期款,,24,中海,,,脉策经营收入
北京市海淀区中关村南大街5号1801室,,,零售和其他,智尚博通（天津）科技发展有限公司,北京,城市事业部,2017-09-11 00:00:00,数据咨询服务合同,零期,高怡俊,10,,,,,,,脉策经营收入
北京市海淀区中关村南大街5号1801室,,,零售和其他,智尚博通（天津）科技发展有限公司,北京,城市事业部,2017-09-11 00:00:00,数据咨询服务合同,一期,高怡俊,,一期款,6,,,,,脉策经营收入
北京市海淀区中关村南大街5号1801室,,,零售和其他,智尚博通（天津）科技发展有限公司,北京,城市事业部,2017-10-12 00:00:00,数据咨询服务合同,一期,高怡俊,,一期款,,6,,,,脉策经营收入
北京市海淀区中关村南大街5号1801室,,,零售和其他,智尚博通（天津）科技发展有限公司,北京,城市事业部,2018-02-27 00:00:00,数据咨询服务合同,二期,高怡俊,,二期款,4,,,,,脉策经营收入
北京市海淀区中关村南大街5号1801室,,,零售和其他,智尚博通（天津）科技发展有限公司,北京,城市事业部,2018-03-02 00:00:00,数据咨询服务合同,二期,高怡俊,,二期款,,4,,,,脉策经营收入
上海市闵行区银都路3700号,,,城市,上海市公安局闵行分局,上海,城市事业部,2017-05-12 00:00:00,数据咨询服务合同,零期,高怡俊,2.8,,,,,,,脉策经营收入
上海市闵行区银都路3700号,,,城市,上海市公安局闵行分局,上海,城市事业部,2017-05-25 00:00:00,数据咨询服务合同,一期,高怡俊,,一期款,2.8,,,,,脉策经营收入
上海市闵行区银都路3700号,,,城市,上海市公安局闵行分局,上海,城市事业部,2017-09-02 00:00:00,数据咨询服务合同,一期,高怡俊,,一期款,,2.8,,,,脉策经营收入
徐州市鼓楼区九里山西路1号,,,城市,徐州万汇置业有限公司,徐州,城市事业部,2017-09-12 00:00:00,数据咨询服务合同,零期,刘培锐,28,,,,万科,,2,脉策经营收入
徐州市鼓楼区九里山西路1号,,,城市,徐州万汇置业有限公司,徐州,城市事业部,2017-09-12 00:00:00,数据咨询服务合同,一期款,刘培锐,,一期款,14,,万科,,,脉策经营收入
徐州市鼓楼区九里山西路1号,,,城市,徐州万汇置业有限公司,徐州,城市事业部,2017-09-28 00:00:00,数据咨询服务合同,一期,刘培锐,,一期款,,14,万科,,,脉策经营收入
徐州市鼓楼区九里山西路1号,,,城市,徐州万汇置业有限公司,徐州,城市事业部,2017-12-12 00:00:00,数据咨询服务合同,二期,刘培锐,,二期款,12,,万科,,,脉策经营收入
徐州市鼓楼区九里山西路1号,,,城市,徐州万汇置业有限公司,徐州,城市事业部,2018-01-11 00:00:00,数据咨询服务合同,二期,刘培锐,,二期款,,12,万科,,,脉策经营收入
天津华苑产业区海泰发展六道6号海泰绿色产业基地G座,,,地产,天津睿霖置业有限公司,天津,地产事业部,2017-09-15 00:00:00,DataMap,零期,王道强,10,,,,龙湖,10,10,脉策经营收入
天津华苑产业区海泰发展六道6号海泰绿色产业基地G座,,,地产,天津睿霖置业有限公司,天津,地产事业部,2018-02-26 00:00:00,DataMap,一期,王道强,,一期款,5,,龙湖,,,脉策经营收入
天津华苑产业区海泰发展六道6号海泰绿色产业基地G座,,,地产,天津睿霖置业有限公司,天津,地产事业部,2018-05-23 00:00:00,DataMap,一期,王道强,,二期款,5,,龙湖,,,脉策经营收入
